АвтоСнаб Проверка накладной 780

Проверка накладной
Поле,Значение,Кто заполняет,Комментарий
ID проверки,1,система,Не редактировать
Статус проверки,ready,система,Можно отправлять после проверки бизнес-данных
Поставщик,Питер Кельн,пользователь / OCR,Исправьте только если OCR распознал неверно
Номер накладной,780,пользователь / OCR,Номер документа из накладной
Дата накладной,2026-06-19,пользователь / OCR,Дата из накладной
Заведение / точка доставки,Добрая столовая,пользователь / OCR,Куда относится поставка
Склад / подразделение,Добрая столовая,"пользователь, если система не определила","Обычное название склада/подразделения, не GUID"
Итоговая сумма,220.0,система,Считается по строкам: количество × цена
Комментарий пользователя,,пользователь,Необязательно

Товарные позиции
№,Статус проверки,Что исправить,Наименование товара,Количество,Ед. изм.,Цена,Сумма,НДС %,НДС сумма,Комментарий пользователя
1,Готово,,Сахар ванильный,2.0,шт,110.0,220.0,20.0,36.67,

